,kmeans,single,complete,average,centroid,ward,dbscan
NSCLC_A549_1,1,0,1,0,1,1,-1
NSCLC_H1703_2,1,0,1,0,1,1,-1
NSCLC_H1703_1,1,0,1,0,1,1,-1
NSCLC_A549_2,1,0,1,0,1,1,-1
NSCLC_H1437_1,1,0,0,0,0,0,-1
NSCLC_H2228_1,1,0,0,0,1,1,-1
NSCLC_H2228_2,1,0,0,0,1,1,-1
NSCLC_H1437_2,1,0,0,0,0,0,-1
NSCLC_H3122_1,1,0,0,0,0,0,-1
NSCLC_H322_2,1,0,0,0,1,1,-1
NSCLC_H322_1,1,0,0,0,1,1,-1
NSCLC_H358_2,1,1,1,0,1,1,-1
NSCLC_H3122_2,1,0,0,1,0,0,-1
NSCLC_H522_1,1,0,0,0,1,1,-1
NSCLC_H522_2,1,1,0,0,1,1,-1
NSCLC_HCC4006_1,1,0,0,0,1,1,-1
NSCLC_H358_1,1,1,1,0,1,1,-1
NSCLC_PC9_1,1,0,1,0,1,1,-1
NSCLC_PC9_2,1,0,1,0,1,1,-1
NSCLC_HCC4006_2,1,0,1,0,1,1,-1
SCLC_86M1_2,0,0,0,0,0,0,-1
SCLC_86M1_1,0,0,0,0,0,0,-1
SCLC_16HV_1,0,0,0,0,0,0,-1
SCLC_16HV_2,0,0,0,0,0,0,-1
SCLC_DMS79_1,0,0,0,0,0,0,-1
SCLC_DMS79_2,0,0,0,0,0,0,-1
SCLC_H187_2,0,0,0,0,0,0,-1
SCLC_H187_1,0,0,0,0,0,0,-1
SCLC_H209_1,0,0,0,0,0,0,-1
SCLC_H524_1,0,0,0,0,0,0,-1
SCLC_H209_2,0,0,0,0,0,0,-1
SCLC_H524_2,0,0,0,0,0,0,-1
SCLC_H69_1,0,0,0,0,0,0,-1
SCLC_H82_1,0,0,0,0,0,0,-1
SCLC_H82_2,0,0,0,0,0,0,-1
SCLC_H69_2,0,0,0,0,0,0,-1
SCLC_N417_2,0,0,0,0,0,0,-1
SCLC_N417_1,0,0,0,0,0,0,-1
SCLC_SW210-5_1,0,0,0,0,0,0,-1
SCLC_SW210_5_2,0,0,0,0,0,0,-1
